eventType,eventID,parentEventID,license,rightsHolder,accessRights,datasetID,institutionCode,datasetName,informationWithheld,dataGeneralizations,samplingProtocol,eventDate,eventRemarks,locationID,continent,countryCode,locality,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,georeferenceRemarks,collectionCode,basisOfRecord,recordedBy,individualCount,sex,lifeStage,behavior,occurrenceStatus,occurrenceRemarks,scientificName,kingdom,phylum,class,order,taxonRank,vernacularName,nomenclaturalCode
visit,INBO:MEETNET:EVENT:009059,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2017-06-26,data collected in the Variabele waterjuffer project,INBO:MEETNET:LOCATION:013585,Europe,BE,Lozerheide visvijvers,51.21227,5.54138,WGS84,707,coordinates are centroid of used grid square,,,,,,,,,,,,,,,,,
visit,INBO:MEETNET:EVENT:288980,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2022-06-15,data collected in the Variabele waterjuffer project,INBO:MEETNET:LOCATION:013584,Europe,BE,Paddenbroek,50.7891,3.51783,WGS84,707,coordinates are centroid of used grid square,,,,,,,,,,,,,,,,,
visit,INBO:MEETNET:EVENT:280727,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a MULTIPOLYGON to a UTM 1km grid,dragonfly transects,2022-06-01,data collected in the Vroege glazenmaker project,INBO:MEETNET:LOCATION:013608,Europe,BE,Smeetshof,51.20139,5.62668,WGS84,707,coordinates are centroid of used grid square,,,,,,,,,,,,,,,,,
visit,INBO:MEETNET:EVENT:282735,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2022-07-18,data collected in the Beekrombout project,INBO:MEETNET:LOCATION:017428,Europe,BE,Wateringen - Vloeiweiden,51.27007,5.35818,WGS84,707,coordinates are centroid of used grid square,,,,,,,,,,,,,,,,,
visit,INBO:MEETNET:EVENT:280077,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2022-05-22,data collected in the Vroege glazenmaker project,INBO:MEETNET:LOCATION:013625,Europe,BE,Den Diel,51.24618,5.19933,WGS84,707,coordinates are centroid of used grid square,,,,,,,,,,,,,,,,,
visit,INBO:MEETNET:EVENT:196383,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2018-06-30,data collected in the Vroege glazenmaker project,INBO:MEETNET:LOCATION:013637,Europe,BE,Bergerven,51.06503,5.69032,WGS84,707,coordinates are centroid of used grid square,,,,,,,,,,,,,,,,,
visit,INBO:MEETNET:EVENT:006791,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2017-05-14,data collected in the Variabele waterjuffer project,INBO:MEETNET:LOCATION:013588,Europe,BE,Rangeerstation Grote Kreek,51.2948,4.36972,WGS84,707,coordinates are centroid of used grid square,,,,,,,,,,,,,,,,,
visit,INBO:MEETNET:EVENT:284067,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2022-07-02,data collected in the Vroege glazenmaker project,INBO:MEETNET:LOCATION:013626,Europe,BE,Damvallei,51.05704,3.83473,WGS84,707,coordinates are centroid of used grid square,,,,,,,,,,,,,,,,,
visit,INBO:MEETNET:EVENT:249668,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2021-07-02,data collected in the Vroege glazenmaker project,INBO:MEETNET:LOCATION:013609,Europe,BE,Molsbroek,51.10053,4.02118,WGS84,707,coordinates are centroid of used grid square,,,,,,,,,,,,,,,,,
visit,INBO:MEETNET:EVENT:054969,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2018-05-26,data collected in the Variabele waterjuffer project,INBO:MEETNET:LOCATION:013600,Europe,BE,De Luysen Mariahof,51.18246,5.66853,WGS84,707,coordinates are centroid of used grid square,,,,,,,,,,,,,,,,,
visit,INBO:MEETNET:EVENT:247013,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2020-06-28,data collected in the Vroege glazenmaker project,INBO:MEETNET:LOCATION:013635,Europe,BE,Beverbeekse Heide,51.29405,5.50286,WGS84,707,coordinates are centroid of used grid square,,,,,,,,,,,,,,,,,
visit,INBO:MEETNET:EVENT:200540,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2019-05-31,data collected in the Variabele waterjuffer project,INBO:MEETNET:LOCATION:013587,Europe,BE,Oude Scheldearm Coupure,50.77135,3.4609,WGS84,707,coordinates are centroid of used grid square,,,,,,,,,,,,,,,,,
visit,INBO:MEETNET:EVENT:006948,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2017-05-15,data collected in the Vroege glazenmaker project,INBO:MEETNET:LOCATION:013618,Europe,BE,Ekeren Bospolder,51.27666,4.38351,WGS84,707,coordinates are centroid of used grid square,,,,,,,,,,,,,,,,,
visit,INBO:MEETNET:EVENT:006614,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2017-05-06,data collected in the Variabele waterjuffer project,INBO:MEETNET:LOCATION:013604,Europe,BE,Wellemeersen,50.90234,4.0595,WGS84,707,coordinates are centroid of used grid square,,,,,,,,,,,,,,,,,
visit,INBO:MEETNET:EVENT:236408,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2020-07-23,data collected in the Beekrombout project,INBO:MEETNET:LOCATION:017415,Europe,BE,De Kluis - Blommerschot,51.23571,4.75473,WGS84,3536,coordinates are centroid of used grid square,,,,,,,,,,,,,,,,,
visit,INBO:MEETNET:EVENT:281291,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2022-06-22,data collected in the Variabele waterjuffer project,INBO:MEETNET:LOCATION:013579,Europe,BE,Smeetshof,51.20139,5.62668,WGS84,707,coordinates are centroid of used grid square,,,,,,,,,,,,,,,,,
visit,INBO:MEETNET:EVENT:201094,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2019-06-12,data collected in the Beekrombout project,INBO:MEETNET:LOCATION:017422,Europe,BE,Groesgoor - Koemook,51.25597,5.1568,WGS84,707,coordinates are centroid of used grid square,,,,,,,,,,,,,,,,,
visit,INBO:MEETNET:EVENT:283023,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2022-06-01,data collected in the Beekrombout project,INBO:MEETNET:LOCATION:017413,Europe,BE,Laarse beek - Peerdsbos,51.27525,4.49817,WGS84,707,coordinates are centroid of used grid square,,,,,,,,,,,,,,,,,
visit,INBO:MEETNET:EVENT:195842,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2018-08-03,data collected in the Beekrombout project,INBO:MEETNET:LOCATION:017430,Europe,BE,Warmbeek - Tomp en Kluis,51.28537,5.48804,WGS84,707,coordinates are centroid of used grid square,,,,,,,,,,,,,,,,,
visit,INBO:MEETNET:EVENT:288978,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2022-05-13,data collected in the Variabele waterjuffer project,INBO:MEETNET:LOCATION:013584,Europe,BE,Paddenbroek,50.7891,3.51783,WGS84,707,coordinates are centroid of used grid square,,,,,,,,,,,,,,,,,
visit,INBO:MEETNET:EVENT:255444,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2021-07-02,data collected in the Vroege glazenmaker project,INBO:MEETNET:LOCATION:013612,Europe,BE,Hageven Noord,51.25992,5.415,WGS84,707,coordinates are centroid of used grid square,,,,,,,,,,,,,,,,,
visit,INBO:MEETNET:EVENT:249332,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2021-07-02,data collected in the Beekrombout project,INBO:MEETNET:LOCATION:017429,Europe,BE,Hageven,51.25992,5.415,WGS84,707,coordinates are centroid of used grid square,,,,,,,,,,,,,,,,,
visit,INBO:MEETNET:EVENT:251289,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2021-07-03,data collected in the Beekrombout project,INBO:MEETNET:LOCATION:017430,Europe,BE,Warmbeek - Tomp en Kluis,51.28537,5.48804,WGS84,707,coordinates are centroid of used grid square,,,,,,,,,,,,,,,,,
visit,INBO:MEETNET:EVENT:278481,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2022-05-10,data collected in the Variabele waterjuffer project,INBO:MEETNET:LOCATION:013603,Europe,BE,De Blankaart,50.98801,2.86465,WGS84,707,coordinates are centroid of used grid square,,,,,,,,,,,,,,,,,
visit,INBO:MEETNET:EVENT:255469,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2021-05-23,data collected in the Variabele waterjuffer project,INBO:MEETNET:LOCATION:013606,Europe,BE,Pulderbos Lovenhoek,51.21816,4.72543,WGS84,707,coordinates are centroid of used grid square,,,,,,,,,,,,,,,,,
visit,INBO:MEETNET:EVENT:013933,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2017-06-25,data collected in the Vroege glazenmaker project,INBO:MEETNET:LOCATION:013617,Europe,BE,Rangeerstation Grote Kreek,51.2948,4.36972,WGS84,707,coordinates are centroid of used grid square,,,,,,,,,,,,,,,,,
visit,INBO:MEETNET:EVENT:013732,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2017-06-03,data collected in the Variabele waterjuffer project,INBO:MEETNET:LOCATION:013586,Europe,BE,Terlaemen,51.00194,5.27328,WGS84,707,coordinates are centroid of used grid square,,,,,,,,,,,,,,,,,
visit,INBO:MEETNET:EVENT:193921,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a MULTIPOLYGON to a UTM 1km grid,dragonfly transects,2018-06-26,data collected in the Vroege glazenmaker project,INBO:MEETNET:LOCATION:013616,Europe,BE,'t Graafschap,51.08992,4.1923,WGS84,707,coordinates are centroid of used grid square,,,,,,,,,,,,,,,,,
visit,INBO:MEETNET:EVENT:288981,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2022-06-28,data collected in the Variabele waterjuffer project,INBO:MEETNET:LOCATION:013584,Europe,BE,Paddenbroek,50.7891,3.51783,WGS84,707,coordinates are centroid of used grid square,,,,,,,,,,,,,,,,,
visit,INBO:MEETNET:EVENT:231741,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2020-07-18,data collected in the Beekrombout project,INBO:MEETNET:LOCATION:017434,Europe,BE,Laambeek,51.00138,5.30176,WGS84,707,coordinates are centroid of used grid square,,,,,,,,,,,,,,,,,
visit,INBO:MEETNET:EVENT:233265,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2020-08-20,data collected in the Beekrombout project,INBO:MEETNET:LOCATION:017438,Europe,BE,Afwateringskanaal,51.21841,5.24097,WGS84,707,coordinates are centroid of used grid square,,,,,,,,,,,,,,,,,
visit,INBO:MEETNET:EVENT:231039,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2020-07-13,data collected in the Beekrombout project,INBO:MEETNET:LOCATION:017419,Europe,BE,Daelmansloop,51.20435,5.02554,WGS84,707,coordinates are centroid of used grid square,,,,,,,,,,,,,,,,,
visit,INBO:MEETNET:EVENT:201606,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2019-06-26,data collected in the Beekrombout project,INBO:MEETNET:LOCATION:017422,Europe,BE,Groesgoor - Koemook,51.25597,5.1568,WGS84,707,coordinates are centroid of used grid square,,,,,,,,,,,,,,,,,
