id	collectionCode	basisOfRecord	occurrenceID	recordedBy	individualCount	sex	lifeStage	behavior	occurrenceStatus	occurrenceRemarks	eventID	scientificName	kingdom	phylum	class	order	taxonRank	vernacularName	nomenclaturalCode
INBO:MEETNET:EVENT:247033	meetnetten	HumanObservation	INBO:MEETNET:OCC:0796977	https://meetnetten.be	0	unknown	adult	present	absent	target species	INBO:MEETNET:EVENT:247033	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:247033	meetnetten	HumanObservation	INBO:MEETNET:OCC:0796978	https://meetnetten.be	0	unknown	imago	present	absent	target species	INBO:MEETNET:EVENT:247033	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:247033	meetnetten	HumanObservation	INBO:MEETNET:OCC:0796979	https://meetnetten.be	0	unknown	adult	copula	absent	target species	INBO:MEETNET:EVENT:247033	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:247033	meetnetten	HumanObservation	INBO:MEETNET:OCC:0796980	https://meetnetten.be	0	female	adult	egg laying	absent	target species	INBO:MEETNET:EVENT:247033	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:247033	meetnetten	HumanObservation	INBO:MEETNET:OCC:0796981	https://meetnetten.be	0	unknown	exuviae	present	absent	target species	INBO:MEETNET:EVENT:247033	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:201727	meetnetten	HumanObservation	INBO:MEETNET:OCC:0678213	https://meetnetten.be	0	female	adult	egg laying	absent	casual observation	INBO:MEETNET:EVENT:201727	Calopteryx virgo	Animalia	Arthropoda	Insecta	Odonata	species	Bosbeekjuffer	ICZN
INBO:MEETNET:EVENT:201727	meetnetten	HumanObservation	INBO:MEETNET:OCC:0678214	https://meetnetten.be	0	unknown	exuviae	present	absent	casual observation	INBO:MEETNET:EVENT:201727	Calopteryx virgo	Animalia	Arthropoda	Insecta	Odonata	species	Bosbeekjuffer	ICZN
INBO:MEETNET:EVENT:201727	meetnetten	HumanObservation	INBO:MEETNET:OCC:0678208	https://meetnetten.be	2	male	adult	present	present	casual observation	INBO:MEETNET:EVENT:201727	Calopteryx virgo	Animalia	Arthropoda	Insecta	Odonata	species	Bosbeekjuffer	ICZN
INBO:MEETNET:EVENT:201727	meetnetten	HumanObservation	INBO:MEETNET:OCC:0678209	https://meetnetten.be	1	female	adult	present	present	casual observation	INBO:MEETNET:EVENT:201727	Calopteryx virgo	Animalia	Arthropoda	Insecta	Odonata	species	Bosbeekjuffer	ICZN
INBO:MEETNET:EVENT:201727	meetnetten	HumanObservation	INBO:MEETNET:OCC:0678210	https://meetnetten.be	0	unknown	adult	present	absent	casual observation	INBO:MEETNET:EVENT:201727	Calopteryx virgo	Animalia	Arthropoda	Insecta	Odonata	species	Bosbeekjuffer	ICZN
